Rater,N,Corretti,Accuracy,95% CI lower,95% CI upper,Sensitivity synthetic,Specificity real,Cohen kappa,MCC,AUC confidence-direction,Exact binomial p vs 0.50,TP,TN,FP,FN
Rater_01,100,46,0.46,0.3623,0.5577,0.42,0.5,-0.08,-0.0803,0.4924,0.4841,21,25,25,29
Rater_02,100,53,0.53,0.4322,0.6278,0.56,0.5,0.06,0.0601,0.4346,0.6173,28,25,25,22
Rater_03,100,48,0.48,0.3821,0.5779,0.44,0.52,-0.04,-0.0401,0.4882,0.7644,22,26,24,28
Rater_04,100,52,0.52,0.4221,0.6179,0.46,0.58,0.04,0.0403,0.4674,0.7644,23,29,21,27
Rater_05,100,50,0.5,0.402,0.598,0.48,0.52,0.0,0.0,0.5174,1.0,24,26,24,26
Rater_06,100,45,0.45,0.3525,0.5475,0.42,0.48,-0.1,-0.1002,0.5398,0.3682,21,24,26,29
Rater_07,100,54,0.54,0.4423,0.6377,0.58,0.5,0.08,0.0803,0.4804,0.4841,29,25,25,21
Rater_08,100,47,0.47,0.3722,0.5678,0.56,0.38,-0.06,-0.061,0.4848,0.6173,28,19,31,22
Rater_09,100,51,0.51,0.412,0.608,0.42,0.6,0.02,0.0203,0.4836,0.9204,21,30,20,29
Rater_10,100,49,0.49,0.392,0.588,0.48,0.5,-0.02,-0.02,0.549,0.9204,24,25,25,26
POOLED,1000,495,0.495,0.464,0.526,0.482,0.508,-0.01,-0.01,0.4941,0.776,241,254,246,259
